Model,MAE,RMSE,MAPE %,Direction Accuracy %,R² Score
Baseline (Persistence),0.012524243384278239,0.017550618366702988,45465.608716855015,48.760330578512395,-1.0979423069895229
XGBoost (Optimized),0.008899898034590488,0.012540633701406788,65321.36967507182,50.82644628099173,-0.07114351078062997
LightGBM,0.00940613753971064,0.013030096824499387,222631.9474844093,47.93388429752066,-0.15638907861760276
CatBoost,0.00930071662223045,0.01279704257281474,171967.21701255388,49.17355371900827,-0.11539302688712172
Gradient Boosting,0.009917703878976822,0.013586568198384469,188860.54015853448,48.34710743801653,-0.25726909932156894
Random Forest,0.00917668586230861,0.012711655999220433,53523.21844033932,48.34710743801653,-0.10055805990806688
🏆 ENSEMBLE (Weighted Avg),0.008824836880200434,0.012423908816137634,140230.6941656046,48.34710743801653,-0.051296469947684775
