iter	RMSE
0	0.01493466736
1	0.01490369875
2	0.01488592528
3	0.01484402673
4	0.01482706106
5	0.01476857709
6	0.01474306672
7	0.01469216661
8	0.01464884858
9	0.01462655805
10	0.01460466263
11	0.01457136737
12	0.01452138493
13	0.01450525212
14	0.01446841269
15	0.01444218623
16	0.01442964139
17	0.01441229825
18	0.01438645615
19	0.01434343126
20	0.01432331213
21	0.01431164369
22	0.01429701454
23	0.01425754108
24	0.01422061566
25	0.01420410111
26	0.01417371872
27	0.01412843693
28	0.01408882973
29	0.01407311229
30	0.01404992456
31	0.01403950736
32	0.01402069459
33	0.01400430238
34	0.01398276438
35	0.01395644872
36	0.01393377676
37	0.01390536596
38	0.01388050158
39	0.01386575534
40	0.013829571
41	0.01379617075
42	0.01377950092
43	0.01375445775
44	0.01372663415
45	0.01370942696
46	0.01367805263
47	0.01364033174
48	0.01361464729
49	0.01359411912
50	0.013563761
51	0.01354192059
52	0.01351911731
53	0.01349074275
54	0.01347663919
55	0.01345582696
56	0.0134184
57	0.01340803156
58	0.01338953664
59	0.0133697347
60	0.01333824032
61	0.01332325606
62	0.013308321
63	0.0132889377
64	0.01327309657
65	0.01324866048
66	0.01322333134
67	0.01320458179
68	0.01317516545
69	0.01316028855
70	0.01314960254
71	0.01313153246
72	0.01311300255
73	0.01309516773
74	0.01308749901
75	0.01306801456
76	0.01305709263
77	0.01303046587
78	0.01301818419
79	0.01300715997
80	0.0129676191
81	0.01294042151
82	0.01290712481
83	0.01288075008
84	0.0128607428
85	0.0128415296
86	0.01282695652
87	0.01279541831
88	0.01275707921
89	0.01274925121
90	0.01273945786
91	0.01272407856
92	0.01269819513
93	0.01268514002
94	0.01267130971
95	0.01265341853
96	0.0126354022
97	0.01261942661
98	0.0125910437
99	0.01257397558
100	0.01256084784
101	0.01253603988
102	0.01250616974
103	0.01248176973
104	0.01245484243
105	0.01243317681
106	0.01241880334
107	0.01240959787
108	0.01239554256
109	0.01238075492
110	0.01236220561
111	0.0123347919
112	0.01231342941
113	0.01229708774
114	0.01228212568
115	0.01226941966
116	0.01225084389
117	0.01220948324
118	0.01219962391
119	0.01218572967
120	0.01216701302
121	0.0121548488
122	0.01214600796
123	0.01212929501
124	0.01211493094
125	0.01210060081
126	0.01208700497
127	0.0120662917
128	0.01205636064
129	0.01203479574
130	0.01201259218
131	0.01199060815
132	0.01197352799
133	0.01195436088
134	0.01192398493
135	0.01190659032
136	0.01189299607
137	0.01187476041
138	0.01186220838
139	0.0118518559
140	0.01184625571
141	0.01182069832
142	0.01180342574
143	0.01177961018
144	0.01175883466
145	0.01174676081
146	0.01171915168
147	0.01170065769
148	0.01169006381
149	0.01167324674
150	0.01165180746
151	0.01162751651
152	0.01160629995
153	0.01159688993
154	0.01158521097
155	0.01157137599
156	0.01155334139
157	0.01154256528
158	0.01152507315
159	0.0115178988
160	0.011497037
161	0.01147970619
162	0.01146571546
163	0.01145233266
164	0.01142455232
165	0.01141769125
166	0.01139599387
167	0.01137142726
168	0.0113563669
169	0.01133779729
170	0.01131767527
171	0.01130777478
172	0.01129558221
173	0.0112722108
174	0.01126359215
175	0.01124232545
176	0.01122560922
177	0.01121215341
178	0.01119878738
179	0.01117202911
180	0.01114203393
181	0.01112761813
182	0.01110500391
183	0.01109014214
184	0.01107690882
185	0.01106960567
186	0.01104789866
187	0.01104225006
188	0.01101379672
189	0.01099933983
190	0.01098736565
191	0.01096379629
192	0.01094019693
193	0.0109085108
194	0.01090376624
195	0.01089459221
196	0.01088711487
197	0.01088045482
198	0.01086337067
199	0.01085886895
200	0.01084119573
201	0.01080905981
202	0.0107803404
203	0.01077218962
204	0.01074405546
205	0.01073733218
206	0.01069938457
207	0.01068544629
208	0.01065640662
209	0.01061928222
210	0.01059690529
211	0.01056714234
212	0.01053520015
213	0.01050726815
214	0.01047661495
215	0.01045488301
216	0.01044886132
217	0.01043388188
218	0.01042707902
219	0.01040241069
220	0.01038779803
221	0.01036699553
222	0.01034647798
223	0.01033520408
224	0.0103102688
